year,temperature
2023,30.0
2022,37.2
2021,30.0
2020,33.9
2019,33.9
2018,31.1
2017,30.0
2016,31.1
2015,32.2
2014,27.8
2013,31.1
2012,27.2
2011,27.8
2010,27.2
2009,28.9
2008,27.8
2007,27.2
2006,35.0
2005,31.1
2004,28.9
2003,33.9
2002,28.9
2001,31.1
2000,31.7
